Song_ID,Song_Title,Artist,Genre,Mood,Situation,Energy_Level,Release_Year,Link_URL
1,Pm look.,Tracie Wilson,Rock,Sad,Exercising,High,2000,https://www.musicplatform.com/song/1
2,However capital necessary.,Christopher Mckee,Ballad,Happy,Driving,High,1994,https://www.musicplatform.com/song/2
3,Left item.,Michele Stewart,Jazz,Calm,Sleeping,Medium,2017,https://www.musicplatform.com/song/3
4,Three few.,Kelly Wheeler,EDM,Happy,Studying,High,2022,https://www.musicplatform.com/song/4
5,Life without weight.,Phillip Howard,Classical,Energetic,Driving,Medium,2024,https://www.musicplatform.com/song/5
6,Politics.,Ricky Callahan,Classical,Relaxed,Exercising,Low,1995,https://www.musicplatform.com/song/6
7,Song professional.,Eric Lopez,Pop,Energetic,Studying,Medium,2014,https://www.musicplatform.com/song/7
8,White go thousand.,Tim Scott,Country,Happy,Working,High,2002,https://www.musicplatform.com/song/8
9,First right.,William Wright II,Country,Calm,Relaxing,Low,2007,https://www.musicplatform.com/song/9
10,Room the.,Kevin Wade,Jazz,Calm,Relaxing,High,2014,https://www.musicplatform.com/song/10
11,Rock record among.,Dustin Thompson,Hip-hop,Happy,Studying,Medium,1993,https://www.musicplatform.com/song/11
12,Try find of.,Paul Hammond,Hip-hop,Sad,Driving,High,1990,https://www.musicplatform.com/song/12
13,Consider candidate.,Christian Davis,EDM,Relaxed,Working,Medium,1991,https://www.musicplatform.com/song/13
14,Method author.,Sarah Williams,Country,Motivated,Studying,Low,2015,https://www.musicplatform.com/song/14
15,Democrat send.,Mr. Jordan Mcfarland,Hip-hop,Happy,Working,High,2024,https://www.musicplatform.com/song/15
16,Green out least.,Raymond Oconnor,Country,Sad,Exercising,Low,2004,https://www.musicplatform.com/song/16
17,End mrs particular.,Mrs. Brittany Griffin,Classical,Sad,Driving,Low,1993,https://www.musicplatform.com/song/17
18,Few me.,Brian Beasley,Pop,Sad,Working,Medium,1995,https://www.musicplatform.com/song/18
19,Affect dream say past.,Ricky Li,EDM,Calm,Studying,High,1991,https://www.musicplatform.com/song/19
20,Message amount baby.,Kevin Watson PhD,Ballad,Motivated,Relaxing,High,2019,https://www.musicplatform.com/song/20
21,Safe through whether.,Thomas Robertson PhD,Classical,Relaxed,Studying,High,2003,https://www.musicplatform.com/song/21
22,People main glass.,Rose Hayes,Rock,Energetic,Working,Low,2001,https://www.musicplatform.com/song/22
23,Sometimes speak citizen.,Natalie Rodriguez,Classical,Energetic,Driving,High,2016,https://www.musicplatform.com/song/23
24,Safe group.,Maria Porter,Classical,Sad,Studying,High,2015,https://www.musicplatform.com/song/24
25,Cause close behind.,Frank Miller,EDM,Energetic,Sleeping,Medium,2010,https://www.musicplatform.com/song/25
26,Me bring.,Robert Foley,EDM,Relaxed,Sleeping,Low,2001,https://www.musicplatform.com/song/26
27,Board art.,Colleen Williams,Ballad,Energetic,Exercising,Medium,2008,https://www.musicplatform.com/song/27
28,Modern.,Mary Miller,Country,Happy,Sleeping,High,2011,https://www.musicplatform.com/song/28
29,Pattern star.,Michael Garcia,Classical,Motivated,Exercising,Medium,2007,https://www.musicplatform.com/song/29
30,Any concern race.,Megan Hansen,Ballad,Relaxed,Driving,High,1991,https://www.musicplatform.com/song/30
31,Her much.,Allison Norman,Country,Happy,Driving,Low,2017,https://www.musicplatform.com/song/31
32,View watch.,Anne Black,Country,Happy,Studying,High,2004,https://www.musicplatform.com/song/32
33,Customer western.,Leslie Fleming,Hip-hop,Motivated,Working,High,2023,https://www.musicplatform.com/song/33
34,Least each education.,Robert Rodriguez,Rock,Happy,Sleeping,Medium,2016,https://www.musicplatform.com/song/34
35,Bad receive.,William Jones,Classical,Energetic,Studying,Medium,1996,https://www.musicplatform.com/song/35
36,Young quite.,Roberto Brown,Pop,Calm,Studying,Low,2007,https://www.musicplatform.com/song/36
37,Approach.,Rebecca Acosta,Ballad,Happy,Sleeping,Medium,1995,https://www.musicplatform.com/song/37
38,Process enough break.,Gregory Deleon,EDM,Energetic,Exercising,Medium,2006,https://www.musicplatform.com/song/38
39,Approach level hotel hit.,Jeremiah Kramer,EDM,Motivated,Relaxing,Medium,2011,https://www.musicplatform.com/song/39
40,Where account cell.,Felicia Koch,Country,Relaxed,Driving,High,2018,https://www.musicplatform.com/song/40
41,Stay major moment.,Ashley Smith,Jazz,Happy,Working,High,2021,https://www.musicplatform.com/song/41
42,Let where parent whole.,Michael Graham,Country,Calm,Exercising,Medium,1997,https://www.musicplatform.com/song/42
43,Walk report understand.,Tommy Cervantes,Hip-hop,Energetic,Studying,High,2020,https://www.musicplatform.com/song/43
44,Particular fact employee.,Jimmy Smith,Pop,Sad,Studying,Low,1996,https://www.musicplatform.com/song/44
45,Fish guy.,Jennifer Ellis,Classical,Relaxed,Exercising,High,2015,https://www.musicplatform.com/song/45
46,Town true.,William Greene,EDM,Happy,Sleeping,Medium,2003,https://www.musicplatform.com/song/46
47,Scene reduce growth.,Stephen Robinson,Classical,Motivated,Working,Low,1991,https://www.musicplatform.com/song/47
48,Special artist hundred.,Richard Anderson,Country,Relaxed,Working,Low,2007,https://www.musicplatform.com/song/48
49,Chair more can.,Nicole Shaw,Classical,Relaxed,Relaxing,High,2024,https://www.musicplatform.com/song/49
50,Least prevent.,Angela Rios,Classical,Energetic,Working,Medium,2014,https://www.musicplatform.com/song/50
51,Evidence group.,Stephanie Durham,Hip-hop,Energetic,Working,High,2024,https://www.musicplatform.com/song/51
52,Brother republican.,Matthew Jones,Rock,Energetic,Driving,High,1998,https://www.musicplatform.com/song/52
53,Alone poor finally.,Vicki Prince,Hip-hop,Sad,Sleeping,Medium,2020,https://www.musicplatform.com/song/53
54,Change country.,Cynthia Becker,Rock,Sad,Driving,Low,1994,https://www.musicplatform.com/song/54
55,Key material today.,Aaron Martin,Hip-hop,Happy,Sleeping,Medium,2011,https://www.musicplatform.com/song/55
56,Care section.,Heather Villanueva,Ballad,Happy,Exercising,High,1995,https://www.musicplatform.com/song/56
57,Dark across.,Daniel Howard,Ballad,Sad,Studying,Low,2005,https://www.musicplatform.com/song/57
58,Reality it.,Ronald Navarro,Hip-hop,Happy,Relaxing,High,2019,https://www.musicplatform.com/song/58
59,Purpose after attention.,John Smith,Jazz,Motivated,Driving,Low,2010,https://www.musicplatform.com/song/59
60,War bad.,Tammy Sellers,Pop,Motivated,Exercising,High,1999,https://www.musicplatform.com/song/60
61,Health nation use.,Gloria Hardin,Jazz,Relaxed,Driving,High,1996,https://www.musicplatform.com/song/61
62,Civil edge everything push.,Amanda Garcia,Rock,Happy,Relaxing,Medium,2001,https://www.musicplatform.com/song/62
63,Security fly.,Alison Mendez,Pop,Energetic,Driving,Low,2022,https://www.musicplatform.com/song/63
64,Then kind mouth.,Anthony Kirby,Hip-hop,Sad,Exercising,High,2015,https://www.musicplatform.com/song/64
65,Guess six.,Derrick Adams,Pop,Relaxed,Sleeping,High,2015,https://www.musicplatform.com/song/65
66,Move brother.,George Kelly,Hip-hop,Sad,Studying,High,1992,https://www.musicplatform.com/song/66
67,Other reality court.,Steven Poole,Country,Relaxed,Exercising,Medium,2015,https://www.musicplatform.com/song/67
68,Despite.,Jeremy Kirby,Hip-hop,Calm,Driving,High,1992,https://www.musicplatform.com/song/68
69,Sometimes.,Joseph Lopez,Jazz,Motivated,Studying,Medium,1998,https://www.musicplatform.com/song/69
70,Become same road.,William Johnson,Country,Happy,Driving,Low,2023,https://www.musicplatform.com/song/70
71,Body poor use.,Lauren Murphy,Country,Happy,Exercising,Low,2014,https://www.musicplatform.com/song/71
72,More special.,Carlos Allen,EDM,Motivated,Relaxing,High,2015,https://www.musicplatform.com/song/72
73,Test support woman.,Holly Romero,Jazz,Relaxed,Working,High,1999,https://www.musicplatform.com/song/73
74,Sit history friend.,Mitchell Johnson,EDM,Sad,Studying,High,2016,https://www.musicplatform.com/song/74
75,Blue decade without.,Kim Thompson,Ballad,Sad,Studying,Medium,1992,https://www.musicplatform.com/song/75
76,Home four light.,Victoria Smith,Rock,Sad,Relaxing,Medium,2010,https://www.musicplatform.com/song/76
77,Quality red.,Jason Nielsen,Rock,Energetic,Sleeping,High,2004,https://www.musicplatform.com/song/77
78,Executive author garden.,Kimberly Mclean,EDM,Motivated,Driving,Low,1990,https://www.musicplatform.com/song/78
79,Imagine mind attack.,Andrew Wilson,Rock,Motivated,Working,High,1990,https://www.musicplatform.com/song/79
80,Reach hotel between.,Jesus Hernandez,Rock,Energetic,Exercising,Low,2016,https://www.musicplatform.com/song/80
81,Wife early act.,Valerie Cruz,Ballad,Sad,Relaxing,Medium,2022,https://www.musicplatform.com/song/81
82,Write forward.,Mr. Scott Norton Jr.,Ballad,Energetic,Sleeping,Medium,2009,https://www.musicplatform.com/song/82
83,Kid still late.,Katie Hammond,Country,Happy,Driving,Low,2000,https://www.musicplatform.com/song/83
84,Get think money.,Shelly Eaton,Classical,Energetic,Exercising,Low,2015,https://www.musicplatform.com/song/84
85,Sort sit.,Edwin Rodriguez,Rock,Relaxed,Exercising,Medium,2003,https://www.musicplatform.com/song/85
86,Drive goal home.,Olivia Duncan,Hip-hop,Relaxed,Relaxing,Low,1996,https://www.musicplatform.com/song/86
87,When oil.,Stacey Fisher,EDM,Energetic,Exercising,High,1997,https://www.musicplatform.com/song/87
88,Interesting account.,Aaron Vaughn,Rock,Sad,Exercising,Low,1991,https://www.musicplatform.com/song/88
89,Concern green hour factor.,Anthony Hoffman,Country,Calm,Driving,High,2003,https://www.musicplatform.com/song/89
90,Picture decade level.,Keith Ross,Hip-hop,Calm,Relaxing,Low,2008,https://www.musicplatform.com/song/90
91,Cover.,Daniel Hill,Jazz,Happy,Sleeping,High,2008,https://www.musicplatform.com/song/91
92,Political positive.,Christopher Thompson,Jazz,Sad,Working,Low,1992,https://www.musicplatform.com/song/92
93,Should attack man.,Craig Kelly,Ballad,Sad,Exercising,Medium,1992,https://www.musicplatform.com/song/93
94,Measure young when.,Daniel Burnett,Pop,Sad,Sleeping,Medium,1994,https://www.musicplatform.com/song/94
95,Spend memory.,John Mcdonald,Jazz,Sad,Exercising,High,2005,https://www.musicplatform.com/song/95
96,Good something.,Matthew Lopez,Country,Energetic,Studying,Medium,2002,https://www.musicplatform.com/song/96
97,Consumer against.,Jonathan Myers,Classical,Relaxed,Studying,Low,2024,https://www.musicplatform.com/song/97
98,Eat laugh full.,Mrs. Cheryl Santiago DDS,Rock,Energetic,Relaxing,High,2015,https://www.musicplatform.com/song/98
99,Fly special.,Michael Wood,EDM,Motivated,Driving,High,2000,https://www.musicplatform.com/song/99
100,Mr capital.,Melissa Gomez,Country,Motivated,Exercising,High,2019,https://www.musicplatform.com/song/100
101,Expect tv effect.,Kathleen Jones,Ballad,Happy,Relaxing,Low,1996,https://www.musicplatform.com/song/101
102,For structure population.,Denise Sanchez,Ballad,Energetic,Exercising,High,2017,https://www.musicplatform.com/song/102
103,Matter choice support.,Rachel Nelson DVM,Hip-hop,Calm,Driving,Low,1999,https://www.musicplatform.com/song/103
104,Wind crime front.,Donald Williams,Country,Motivated,Sleeping,Low,2019,https://www.musicplatform.com/song/104
105,Find environment themselves.,Emily Marshall,Classical,Sad,Working,Low,2010,https://www.musicplatform.com/song/105
106,Sound sit.,Tina Clay,Country,Happy,Relaxing,Medium,2012,https://www.musicplatform.com/song/106
107,Civil range of.,Kevin Kelley,EDM,Sad,Exercising,High,2022,https://www.musicplatform.com/song/107
108,Left arrive.,Michael Reid,Hip-hop,Sad,Driving,High,1990,https://www.musicplatform.com/song/108
109,Analysis draw.,Stephen Russo,Hip-hop,Relaxed,Sleeping,Medium,2015,https://www.musicplatform.com/song/109
110,Certain statement.,Brandon Fields,EDM,Motivated,Driving,Low,2003,https://www.musicplatform.com/song/110
111,Without center.,Melissa Roberts,EDM,Relaxed,Studying,Medium,2017,https://www.musicplatform.com/song/111
112,Turn audience major among.,James Garcia,EDM,Energetic,Working,Medium,2024,https://www.musicplatform.com/song/112
113,More culture mrs.,Steven Sandoval,Jazz,Relaxed,Exercising,Medium,1999,https://www.musicplatform.com/song/113
114,Energy team.,James Mcdonald,Pop,Relaxed,Driving,Low,2010,https://www.musicplatform.com/song/114
115,Sometimes five.,Scott Vazquez,Country,Relaxed,Working,Medium,2021,https://www.musicplatform.com/song/115
116,Fear.,Michele Jenkins,Rock,Happy,Exercising,Low,2009,https://www.musicplatform.com/song/116
117,Provide fast.,Jeremy Nolan,Ballad,Sad,Driving,Medium,2013,https://www.musicplatform.com/song/117
118,Power cup possible.,Tom Nelson,EDM,Calm,Studying,Low,2002,https://www.musicplatform.com/song/118
119,Tonight happen.,Timothy Smith,Jazz,Calm,Relaxing,Medium,1992,https://www.musicplatform.com/song/119
120,Suggest best.,Monica Burgess,Ballad,Calm,Relaxing,Medium,2021,https://www.musicplatform.com/song/120
121,Collection.,Roberto Bates,Rock,Motivated,Working,Medium,1993,https://www.musicplatform.com/song/121
122,Key economic.,Kenneth Adkins,Pop,Calm,Sleeping,Medium,1997,https://www.musicplatform.com/song/122
123,Standard.,Brooke Lyons,Jazz,Calm,Driving,High,1997,https://www.musicplatform.com/song/123
124,Friend lay himself.,Timothy Weber,Jazz,Motivated,Sleeping,Low,1994,https://www.musicplatform.com/song/124
125,Computer affect.,Justin Irwin,Ballad,Sad,Sleeping,High,2015,https://www.musicplatform.com/song/125
126,Six kid sign.,Sean Massey,Classical,Happy,Relaxing,Low,2020,https://www.musicplatform.com/song/126
127,That admit.,Phillip Mclaughlin,Classical,Sad,Sleeping,Low,2006,https://www.musicplatform.com/song/127
128,Ready.,Ann Johnson,Ballad,Happy,Sleeping,High,1997,https://www.musicplatform.com/song/128
