Song_ID,Song_Title,Artist,Genre,Mood,Situation,Energy_Level,Release_Year,Link_URL
1,Hãy Trao Cho Anh,Sơn Tùng M-TP,Pop,Lãng mạn,Hẹn hò,8,2019,https://soundcloud.com/tr-n-thanh-l-m-354693524/h-y-trao-cho-anh-s-n-t-ng-m-tp?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
2,Chúng Ta Của Hiện Tại,Sơn Tùng M-TP,Pop,Trầm lắng,Suy ngẫm,5,2020,https://soundcloud.com/skymtp1994/son-tung-mtp-chung-ta-cua-hien-tai?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
3,Nơi Này Có Anh,Sơn Tùng M-TP,Pop,Ngọt ngào,Hẹn hò,7,2017,https://soundcloud.com/vpoppamtio/noi-nay-co-anh?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
4,Lạc Trôi,Sơn Tùng M-TP,Pop,Bí ẩn,Khám phá,9,2016,https://soundcloud.com/tripled-duongdaiduong/son-tung-mtp-lac-troi-triple-d-remix?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
5,Có Chắc Yêu Là Đây,Sơn Tùng M-TP,Pop,Vui vẻ,Thư giãn,6,2020,https://soundcloud.com/thanh-nhan-62950383/co-chac-yeu-la-day?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
6,Phía Sau Một Cô Gái,Soobin Hoàng Sơn,Ballad,Buồn,Tự sự,4,2016,https://soundcloud.com/tu-n-tr-ng-190284626/phia-sau-mot-co-gai-soobin?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
7,Đi Để Trở Về,Soobin Hoàng Sơn,Pop,Vui vẻ,Lên đường,7,2017,https://soundcloud.com/vpoppamtio/di-de-tro-ve?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
8,Tháng Năm,Soobin Hoàng Sơn,Ballad,Hoài niệm,Kỷ niệm,5,2021,https://soundcloud.com/cofmasters/soobin-thang-nam-special-version-ft-slim-v?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
9,Xin Đừng Lặng Im,Soobin Hoàng Sơn,Ballad,Buồn,Thất tình,4,2017,https://soundcloud.com/galatdat/xin-dung-im-lang-soobin-hoang-son?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
10,I Know You Know,Soobin Hoàng Sơn,Pop,Năng động,Làm việc,8,2018,https://soundcloud.com/gregvibesforever/i-know-you-faye-webster?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
11,Đẹp Nhất Là Em,Soobin Hoàng Sơn,Pop,Ngọt ngào,Tình yêu,6,2019,https://soundcloud.com/d-ng-l-th-i-tr-ng/dep-nhat-la-em-soobin-hoang-son-x-jiyeon?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
12,Daydreams,Soobin Hoàng Sơn,Ballad,Thư giãn,Thư giãn,5,2018,https://soundcloud.com/touliver/daydreams?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
13,Old Town Road,Lil Nas X ft. Billy Ray Cyrus,Hip-hop/Country,Upbeat,Driving,High,2019,https://music.youtube.com/search?q=Old+Town+Road+Lil+Nas+X+ft.+Billy+Ray+Cyrus
14,Stay,The Kid LAROI & Justin Bieber,Pop,Sad,Relaxing,Medium,2021,https://music.youtube.com/search?q=Stay+The+Kid+LAROI+%26+Justin+Bieber
15,Sunflower,Post Malone & Swae Lee,Pop,Upbeat,Relaxing,Medium,2018,https://music.youtube.com/search?q=Sunflower+Post+Malone+%26+Swae+Lee
16,Can't Stop the Feeling!,Justin Timberlake,Pop,Happy,Dancing,High,2016,https://music.youtube.com/search?q=Can't+Stop+the+Feeling!+Justin+Timberlake
17,We Found Love,Rihanna ft. Calvin Harris,EDM/Pop,Energetic,Dancing,High,2011,https://music.youtube.com/search?q=We+Found+Love+Rihanna+ft.+Calvin+Harris
